date	visits	yesterday	lastyear
20130101	1	0	0
20130102	0	1	0
20130103	1	0	0
20130104	0	1	0
20130105	1	0	0
20130106	2	1	0
20130107	1	2	0
20130108	2	1	0
20130109	1	2	0
20130110	3	1	0
20130111	0	3	0
20130112	2	0	0
20130113	1	2	0
20130114	4	1	0
20130115	0	4	0
20130116	1	0	0
20130117	1	1	0
20130118	1	1	0
20130119	1	1	0
20130120	0	1	0
20130121	0	0	0
20130122	1	0	0
20130123	3	1	0
20130124	2	3	0
20130125	0	2	0
20130126	1	0	0
20130127	1	1	0
20130128	2	1	0
20130129	1	2	0
20130130	2	1	0
20130131	2	2	0
20130201	2	2	0
20130202	1	2	0
20130203	0	1	0
20130204	0	0	0
20130205	2	0	0
20130206	0	2	0
20130207	3	0	0
20130208	0	3	0
20130209	0	0	0
20130210	1	0	0
20130211	2	1	0
20130212	0	2	0
20130213	3	0	0
20130214	0	3	0
20130215	4	0	0
20130216	3	4	0
20130217	1	3	0
20130218	0	1	0
20130219	0	0	0
20130220	2	0	0
20130221	0	2	0
20130222	1	0	0
20130223	1	1	0
20130224	0	1	0
20130225	0	0	0
20130226	2	0	0
20130227	0	2	0
20130228	0	0	0
20130301	1	0	0
20130302	1	1	0
20130303	0	1	0
20130304	1	0	0
20130305	1	1	0
20130306	1	1	0
20130307	0	1	0
20130308	0	0	0
20130309	0	0	0
20130310	1	0	0
20130311	0	1	0
20130312	2	0	0
20130313	1	2	0
20130314	2	1	0
20130315	2	2	0
20130316	0	2	0
20130317	1	0	0
20130318	3	1	0
20130319	5	3	0
20130320	2	5	0
20130321	3	2	0
20130322	4	3	0
20130323	1	4	0
20130324	0	1	0
20130325	1	0	0
20130326	1	1	0
20130327	3	1	0
20130328	1	3	0
20130329	1	1	0
20130330	3	1	0
20130331	2	3	0
20130401	4	2	0
20130402	2	4	0
20130403	6	2	0
20130404	5	6	0
20130405	6	5	0
20130406	7	6	0
20130407	2	7	0
20130408	1	2	0
20130409	7	1	0
20130410	5	7	0
20130411	4	5	0
20130412	3	4	0
20130413	5	3	0
20130414	2	5	0
20130415	2	2	0
20130416	4	2	0
20130417	5	4	0
20130418	2	5	0
20130419	7	2	0
20130420	5	7	0
20130421	5	5	0
20130422	3	5	0
20130423	4	3	0
20130424	4	4	0
20130425	5	4	0
20130426	2	5	0
20130427	2	2	0
20130428	8	2	0
20130429	1	8	00
20130430	5	1	00
20130501	6	5	0
20130502	6	6	0
20130503	5	6	0
20130504	5	5	0
20130505	4	5	0
20130506	2	4	0
20130507	5	2	0
20130508	6	5	0
20130509	3	6	0
20130510	1	3	0
20130511	1	1	01
20130512	3	1	01
20130513	4	3	0
20130514	1	4	0
20130515	5	1	0
20130516	7	5	0
20130517	5	7	0
20130518	9	5	0
20130519	5	9	0
20130520	5	5	0
20130521	7	5	0
20130522	9	7	0
20130523	4	9	0
20130524	6	4	0
20130525	4	6	0
20130526	4	4	0
20130527	6	4	0
20130528	1	6	0
20130529	2	1	0
20130530	3	2	0
20130531	6	3	0
20130601	7	6	0
20130602	5	7	0
20130603	5	5	0
20130604	4	5	0
20130605	5	4	0
20130606	8	5	0
20130607	4	8	0
20130608	5	4	0
20130609	2	5	0
20130610	6	2	0
20130611	8	6	0
20130612	9	8	0
20130613	7	9	0
20130614	0	7	0
20130615	0	0	0
20130616	1	0	0
20130617	3	1	0
20130618	0	3	0
20130619	2	0	0
20130620	0	2	0
20130621	0	0	0
20130622	0	0	0
20130623	1	0	0
20130624	0	1	0
20130625	1	0	0
20130626	1	1	0
20130627	0	1	0
20130628	3	0	0
20130629	0	3	0
20130630	0	0	0
20130701	0	0	0
20130702	1	0	0
20130703	2	1	0
20130704	2	2	0
20130705	0	2	0
20130706	4	0	0
20130707	2	4	0
20130708	1	2	0
20130709	1	1	0
20130710	3	1	0
20130711	2	3	0
20130712	1	2	0
20130713	0	1	0
20130714	1	0	0
20130715	0	1	0
20130716	0	0	0
20130717	0	0	0
20130718	1	0	0
20130719	0	1	0
20130720	1	0	0
20130721	1	1	0
20130722	0	1	0
20130723	1	0	0
20130724	2	1	0
20130725	0	2	0
20130726	0	0	0
20130727	0	0	0
20130728	0	0	0
20130729	1	0	0
20130730	0	1	15
20130731	2	0	0
20130801	0	2	3
20130802	0	0	9
20130803	1	0	7
20130804	0	1	10
20130805	1	0	7
20130806	0	1	1
20130807	0	0	5
20130808	0	0	7
20130809	2	0	8
20130810	1	2	3
20130811	1	1	0
20130812	0	1	0
20130813	1	0	1
20130814	1	1	1
20130815	0	1	0
20130816	1	0	0
20130817	0	1	1
20130818	3	0	0
20130819	0	3	1
20130820	0	0	2
20130821	0	0	0
20130822	1	0	0
20130823	0	1	0
20130824	0	0	0
20130825	0	0	0
20130826	1	0	2
20130827	1	1	1
20130828	0	1	0
20130829	0	0	0
20130830	0	0	0
20130831	1	0	0
20130901	1	1	0
20130902	1	1	0
20130903	0	1	0
20130904	0	0	1
20130905	1	0	0
20130906	0	1	0
20130907	0	0	0
20130908	1	0	0
20130909	0	1	0
20130910	0	0	0
20130911	1	0	0
20130912	1	1	0
20130913	0	1	0
20130914	0	0	0
20130915	0	0	0
20130916	0	0	0
20130917	1	0	0
20130918	0	1	0
20130919	0	0	0
20130920	1	0	0
20130921	0	1	0
20130922	0	0	0
20130923	0	0	0
20130924	0	0	0
20130925	1	0	0
20130926	0	1	0
20130927	1	0	0
20130928	0	1	0
20130929	0	0	0
20130930	1	0	0
20131001	2	1	0
20131002	0	2	0
20131003	0	0	0
20131004	0	0	0
20131005	0	0	0
20131006	0	0	0
20131007	0	0	0
20131008	0	0	0
20131009	2	0	0
20131010	1	2	0
20131011	0	1	0
20131012	1	0	0
20131013	0	1	0
20131014	1	0	0
20131015	0	1	0
20131016	0	0	0
20131017	2	0	0
